laptop_name,laptop_url,laptop_price,laptop_manufacturer,laptop_resolution,laptop_processor_class,laptop_ram_type,laptop_ram,laptop_storage,laptop_graphic_card,laptop_graphic_card_memory,laptop_image_link
NEŠIOJAMASIS KOMPIUTERIS DELL G3 15 3590 I7-9750H/8GB/1TB+256GB SSD/GTX1660TI-6GB/LINUX,https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nesiojamasis-kompiuteris-dell-g3-15-3590-i7-9750h-8gb-1tb-256gb-ssd-gtx1660ti-6gb-linux,1099.99,,1920 x 1080 (FHD),i7-9750H,DDR4,8,1,NVIDIA GEFORCE GTX 1660 TI,,https://avitela.lt/image/cache/catalog/p/98/307/308/20623/nesiojamas-kompiuteris-dell-g3-15-3590-black-156-fhd-intel-core-i7-9750h-ram-8gb-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1660ti-6gb-linux-273333508_1_-1080x1000.jpg
NEŠIOJAMASIS KOMPIUTERIS APPLE MACBOOK AIR 13” RETINA DC I3 1.1GHZ/8GB/256GB/INTEL IRIS PLUS/GOLD/IN,https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nesiojamasis-kompiuteris-apple-macbook-air-13-retina-dc-i3-1-1ghz-8gb-256gb-intel-iris-plus-gold-in,1219.99,,2560 x1600 (QHD),,,0,256,INTEL IRIS PLUS GRAPHICS,,https://avitela.lt/image/cache/catalog/p/98/307/308/21006/macbook-air-retina-13_1-1080x1000.jpg
NEŠIOJAMASIS KOMPIUTERIS ACER ASPIRE 5 I3-1005G1/4GB/256GB SSD/WIN10,https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nesiojamasis-kompiuteris-acer-aspire-5-i3-1005g1-4gb-256gb-ssd-win10,549.99,,1920 x 1080 (FHD),i3,DDR4,4,256,INTEL UHD GRAPHICS,,https://avitela.lt/image/cache/catalog/p/98/307/308/20047/3f3dbc141fa9a00f98c9a5de992b490c-1080x1000.jpg
"NEŠ.KOMP ASUS VIVOBOOK X542UQ GREY, 15.6 , FHD, MATT, INTEL CORE I5, I5-8250U, 4 GB, DDR4, HDD 500",https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nes-komp-asus-vivobook-x542uq-grey-15-6-fhd-matt-intel-core-i5-i5-8250u-4-gb-ddr4-hdd-500,739.99,,1920 x 1080 (FHD),i5,,4,500,,,https://avitela.lt/image/cache/catalog/p/98/307/308/3816/86205_1-1080x1000.jpg
NEŠIOJAMASIS KOMPIUTERIS HP SPECTRE X360 13-AW0901NA I7-1065G7/8GB/512GB SSD+ 32GB 3D XPOINT/WIN10,https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nesiojamasis-kompiuteris-hp-spectre-x360-13-aw0901na-i7-1065g7-8gb-512gb-ssd-32gb-3d-xpoint-win10,1399.99,,1920 x 1080 (FHD),i7,DDR4,8,512,INTEL,,https://avitela.lt/image/cache/catalog/p/98/307/308/10293/c06472548-1080x1000.jpg
NEŠIOJAMASIS KOMPIUTERIS LENOVO S340 INTEL CORE I5-8265U/8GB/256GB SSD/WIN10 PLATINUM GREY,https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nesiojamasis-kompiuteris-lenovo-s340-intel-core-i5-8265u-8gb-256gb-ssd-win10-platinum-grey,719.99,,1920 x 1080 (FHD),i5-8265U,DDR4,8,256,INTEL UHD GRAPHICS 620,,https://avitela.lt/image/cache/catalog/p/98/307/308/10043/94_600ewfr-1080x1000.jpg
NEŠIOJAMASIS KOMPIUTERIS ASUS ZENBOOK UX433FLC-A5515T ROYAL BLUE I7-10510U/16GB/1TB SSD/MX250-2GB/WI,https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nesiojamasis-kompiuteris-asus-zenbook-ux433flc-a5515t-royal-blue-i7-10510u-16gb-1tb-ssd-mx250-2gb-wi,1249.99,,1920 x 1080 (FHD),i7-10510U,DDR4,16,1,NVIDIA GEFORCE MX250,,https://avitela.lt/image/cache/catalog/p/98/307/308/21145/2_10_9-1080x1000.jpg
NEŠIOJAMASIS KOMPIUTERIS DELL G3 3590 I5-9300H/8GB/1TB+256GB SSD/GTX1650-4GB/WIN10,https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nesiojamasis-kompiuteris-dell-g3-3590-i5-9300h-8gb-1tb-256gb-ssd-gtx1650-4gb-win10,999.99,,1920 x 1080 (FHD),i5-9300H,DDR4,8,1,NVIDIA GEFORCE GTX 1650,,https://avitela.lt/image/cache/catalog/p/98/307/308/20203/1_86-1080x1000.jpg
NEŠ. KOMP. APPLE MACBOOK 12 RETINA DC CORE M3 1.2GHZ/8GB/256GB FLASH/INTEL HD 615/SPACE GRAY/INT,https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nes-komp-apple-macbook-12-retina-dc-core-m3-1-2ghz-8gb-256gb-flash-intel-hd-615-space-gray-int,1415.92,,2304 x 1440,Intel M,,8,256,,,https://avitela.lt/image/cache/catalog/p/98/307/308/3812/84547_2-1080x1000.jpg
"NEŠIOJAMASIS KOMPIUTERIS APPLE MACBOOK PRO 16"""" RETINA WITH TOUCH BAR SC I7 2.6GHZ/16GB/512GB SSD/R",https://avitela.lt/kompiuterine-technika/nesiojamieji-kompiuteriai/nesiojami-kompiuteriai/nesiojamasis-kompiuteris-apple-macbook-pro-16-retina-with-touch-bar-sc-i7-2-6ghz-16gb-512gb-ssd-r,2799.99,,3072 x 1920,i7,DDR4,16,512,AMD RADEON PRO 5300M,,https://avitela.lt/image/cache/catalog/p/98/307/308/9674/d59804d772777f5db17db41210ca6b63-1080x1000.jpg
